index,pollen_score,tagid,starttime,endtime,event
806303,0.0016671565483648,516,2017-06-24 15:49:38.250,2017-06-24 15:49:38.400,entering
806307,0.0554925369053951,516,2017-06-24 15:49:38.450,2017-06-24 15:49:39.200,NV
806386,0.0049007514047653,516,2017-06-24 15:49:44.900,2017-06-24 15:49:45.600,leaving
806402,2.4112005725385192e-09,516,2017-06-24 15:49:45.750,2017-06-24 15:49:45.800,leaving
806405,0.0805710040346363,516,2017-06-24 15:49:45.850,2017-06-24 15:49:46.400,NV
806535,0.110313702702333,516,2017-06-24 15:49:55.300,2017-06-24 15:49:55.800,leaving
806541,7.851079313218783e-05,516,2017-06-24 15:49:55.850,2017-06-24 15:49:56.800,leaving
806947,0.0050727052308616,516,2017-06-24 15:50:23.100,2017-06-24 15:50:24.050,leaving
956760,0.0010228951703469,516,2017-06-25 09:29:15.950,2017-06-25 09:29:16.250,leaving
1002658,6.073510127417118e-05,516,2017-06-25 10:30:56.400,2017-06-25 10:30:56.650,leaving
1002671,6.473868133432302e-05,516,2017-06-25 10:30:57.600,2017-06-25 10:30:58.450,leaving
1002709,2.287773331488552e-05,516,2017-06-25 10:30:59.200,2017-06-25 10:30:59.400,leaving
1002728,0.0003221986203598,516,2017-06-25 10:30:59.650,2017-06-25 10:31:00.650,NV
1002774,0.0019253272182027,516,2017-06-25 10:31:02.350,2017-06-25 10:31:02.500,leaving
1002790,6.307208598286729e-05,516,2017-06-25 10:31:03.850,2017-06-25 10:31:04.350,leaving
1002797,4.865067395647722e-05,516,2017-06-25 10:31:04.500,2017-06-25 10:31:04.800,NV
1002814,0.0002261619006601,516,2017-06-25 10:31:05.200,2017-06-25 10:31:05.450,NV
1002839,0.0036866450256335,516,2017-06-25 10:31:06.700,2017-06-25 10:31:06.800,entering
1002915,0.0039618644566956,516,2017-06-25 10:31:11.200,2017-06-25 10:31:11.750,NV
1027710,0.0002436999784549,516,2017-06-25 11:09:01.850,2017-06-25 11:09:01.900,entering
1027712,0.0297356266951577,516,2017-06-25 11:09:02.050,2017-06-25 11:09:03.600,entering
1027757,3.5871974503774e-05,516,2017-06-25 11:09:07.900,2017-06-25 11:09:11.000,entering
1027790,1.3459748071819392e-06,516,2017-06-25 11:09:11.450,2017-06-25 11:09:14.050,NV
1027818,5.712572868492371e-07,516,2017-06-25 11:09:14.100,2017-06-25 11:09:15.250,NV
1027832,0.0005596439497958,516,2017-06-25 11:09:15.300,2017-06-25 11:09:15.900,leaving
1027847,0.0001666655480726,516,2017-06-25 11:09:17.200,2017-06-25 11:09:22.300,leaving
1028118,0.0140623971819877,516,2017-06-25 11:09:55.950,2017-06-25 11:09:56.000,leaving
1028121,0.0845611456985225,516,2017-06-25 11:09:56.050,2017-06-25 11:09:56.550,entering
1284975,0.0506763143779012,516,2017-06-26 14:45:40.450,2017-06-26 14:45:41.800,leaving
1284990,0.0007897519736142,516,2017-06-26 14:45:42.150,2017-06-26 14:45:43.000,leaving
1284998,0.0059343740422674,516,2017-06-26 14:45:43.250,2017-06-26 14:45:45.550,leaving
1285021,2.6081681740281717e-06,516,2017-06-26 14:45:45.850,2017-06-26 14:45:46.600,NV
1285040,0.00015148130854,516,2017-06-26 14:45:47.850,2017-06-26 14:45:51.200,NV
1285071,2.004427451454324e-07,516,2017-06-26 14:45:51.450,2017-06-26 14:45:52.350,NV
1285553,2.762298645614094e-05,516,2017-06-26 14:46:52.050,2017-06-26 14:46:52.350,entering
1519528,0.0251477459795403,516,2017-06-27 09:42:56.250,2017-06-27 09:42:57.200,entering
1521772,0.0153191313147544,516,2017-06-27 09:47:37.350,2017-06-27 09:47:37.400,entering
1521773,0.2642994783818722,516,2017-06-27 09:47:37.450,2017-06-27 09:47:37.600,entering
1522734,5.56780264560075e-07,516,2017-06-27 09:49:30.750,2017-06-27 09:49:30.800,entering
1522735,0.1203377306941042,516,2017-06-27 09:49:30.850,2017-06-27 09:49:31.400,entering
1597368,0.0449121879450208,516,2017-06-27 13:12:24.450,2017-06-27 13:12:25.000,NV
1649805,0.1502875518432654,516,2017-06-27 15:51:41.650,2017-06-27 15:51:42.550,NV
